"SITE_ID","YEAR","WEEK","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"YOS404","2005.0","30.0","07/26/2005 09:00:00","08/02/2005 08:00:00","0.998","1.448","0.271","1.848","2.089","0.602","0.127","0.119","0.038","0.059","0.014"
"YOS404","2018.0","29.0","07/17/2018 09:00:00","07/24/2018 08:00:00","1.232","1.823","3.477","1.39","4.844","1.593","1.106","0.095","0.15","0.979","0.045"
"YOS404","2013.0","27.0","07/02/2013 09:00:00","07/09/2013 08:00:00","0.713","0.976","0.386","1.071","1.44","0.4","0.144","0.182","0.043","0.07","0.056"
"YOS404","2015.0","28.0","07/07/2015 09:00:00","07/14/2015 08:00:00","0.732","0.962","0.33","0.861","1.177","0.361","0.078","0.12","0.027","0.037","0.014"
"YOS404","2014.0","29.0","07/15/2014 09:00:00","07/22/2014 08:00:00","0.609","1.226","0.344","1.187","1.512","0.461","0.115","0.124","0.032","0.055","0.014"
"YOS404","2013.0","29.0","07/16/2013 09:00:00","07/23/2013 08:00:00","0.959","0.954","0.415","1.239","1.635","0.383","0.133","0.213","0.044","0.056","0.014"
"YOS404","2002.0","28.0","07/09/2002 09:00:00","07/16/2002 08:00:00","1.202","1.578","0.361","2.09","2.418","0.592","0.166","0.121","0.037","0.074",""
"YOS404","2012.0","30.0","07/24/2012 09:00:00","07/31/2012 08:00:00","0.759","1.068","0.428","1.277","1.685","0.433","0.129","0.158","0.036","0.047","0.014"
"YOS404","2018.0","31.0","07/31/2018 09:00:00","08/07/2018 08:00:00","1.498","1.448","4.15","2.005","6.123","1.606","1.606","0.076","0.202","1.077","0.11"
"YOS404","2017.0","29.0","07/18/2017 09:00:00","07/25/2017 08:00:00","1.078","1.304","1.221","1.901","3.091","0.579","0.881","0.206","0.153","0.697","0.025"
"YOS404","1998.0","29.0","07/14/1998 09:00:00","07/21/1998 08:00:00","1.246","1.195","0.254","1.478","1.709","0.5","","","","",""
"YOS404","2008.0","31.0","07/29/2008 09:00:00","08/05/2008 08:00:00","","","","","","","","","","",""
"YOS404","2002.0","29.0","07/16/2002 09:00:00","07/23/2002 08:00:00","1.101","1.391","0.483","1.966","2.417","0.537","0.139","0.176","0.038","0.058",""
"YOS404","2001.0","28.0","07/10/2001 09:00:00","07/17/2001 08:00:00","0.832","1.771","0.772","1.586","2.333","0.703","0.114","0.241","0.046","0.063",""
"YOS404","1999.0","28.0","07/06/1999 09:00:00","07/13/1999 08:00:00","1.211","1.361","0.475","1.969","2.413","0.49","","","","",""
"YOS404","2001.0","30.0","07/24/2001 09:00:00","07/31/2001 08:00:00","0.697","1.009","0.35","1.59","1.914","0.411","0.135","0.118","0.032","0.075",""
"YOS404","1996.0","28.0","07/09/1996 09:00:00","07/16/1996 08:00:00","1.163","1.767","0.378","2.277","2.619","0.369","","","","",""
"YOS404","2008.0","29.0","07/15/2008 09:00:00","07/22/2008 08:00:00","0.696","1.3","0.514","1.361","1.853","0.506","0.146","0.231","0.052","0.093","0.014"
"YOS404","2010.0","29.0","07/13/2010 09:00:00","07/20/2010 08:00:00","0.626","1.357","0.191","0.999","1.174","0.511","0.09","0.124","0.032","0.051","0.027"
"YOS404","2012.0","27.0","07/03/2012 09:00:00","07/10/2012 08:00:00","1.228","1.355","0.686","1.207","1.873","0.48","0.146","0.269","0.061","0.111","0.014"
"YOS404","2014.0","31.0","07/29/2014 09:00:00","08/05/2014 08:00:00","0.545","0.907","0.33","1.224","1.534","0.418","0.234","0.097","0.04","0.11","0.014"
"YOS404","1998.0","28.0","07/07/1998 09:00:00","07/14/1998 08:00:00","1.267","1.597","0.215","1.627","1.816","0.646","","","","",""
"YOS404","2015.0","30.0","07/21/2015 09:00:00","07/28/2015 08:00:00","0.575","0.846","0.44","0.71","1.139","0.318","0.108","0.162","0.034","0.051","0.019"
"YOS404","2013.0","30.0","07/23/2013 09:00:00","07/30/2013 08:00:00","0.535","1.176","0.281","1.347","1.607","0.525","0.121","0.119","0.03","0.063","0.014"
"YOS404","2009.0","31.0","07/28/2009 09:00:00","08/04/2009 08:00:00","0.531","0.739","0.205","1.182","1.368","0.378","0.116","0.041","0.025","0.056","0.014"
"YOS404","2008.0","27.0","07/01/2008 09:00:00","07/08/2008 08:00:00","1.011","0.979","0.16","1.146","1.287","0.447","0.118","0.045","0.027","0.095","0.014"
"YOS404","2010.0","31.0","07/27/2010 09:00:00","08/03/2010 08:00:00","0.692","1.209","0.269","1.134","1.385","0.489","0.108","0.113","0.034","0.062","0.014"
"YOS404","2001.0","27.0","07/03/2001 09:00:00","07/10/2001 08:00:00","0.672","1.655","0.213","1.62","1.807","0.57","0.103","0.134","0.032","0.081",""
"YOS404","2010.0","28.0","07/06/2010 09:00:00","07/13/2010 08:00:00","1.018","1.464","0.349","0.912","1.246","0.593","0.12","0.122","0.037","0.079","0.014"
"YOS404","2004.0","29.0","07/13/2004 09:00:00","07/20/2004 08:00:00","0.887","1.13","1.11","1.865","2.946","0.626","0.233","0.085","0.039","0.299","0.039"
"YOS404","2001.0","29.0","07/17/2001 09:00:00","07/24/2001 08:00:00","0.748","1.015","0.585","1.615","2.174","0.4","0.111","0.22","0.04","0.054",""
"YOS404","2011.0","28.0","07/12/2011 09:00:00","07/19/2011 08:00:00","0.543","1.114","0.449","1.035","1.467","0.487","0.092","0.146","0.036","0.046","0.014"
"YOS404","1998.0","30.0","07/21/1998 09:00:00","07/28/1998 08:00:00","1.186","2.058","0.234","1.743","1.949","0.832","","","","",""
"YOS404","1998.0","31.0","07/28/1998 09:00:00","08/04/1998 08:00:00","1.758","2.261","0.286","2.438","2.685","0.881","","","","",""
"YOS404","2012.0","31.0","07/31/2012 09:00:00","08/07/2012 08:00:00","0.593","0.779","0.261","1.19","1.432","0.328","0.097","0.105","0.029","0.042","0.014"
"YOS404","2000.0","28.0","07/11/2000 09:00:00","07/18/2000 08:00:00","1.11","1.588","0.46","1.96","2.389","0.602","0.123","0.169","0.039","0.053",""
"YOS404","2014.0","30.0","07/22/2014 09:00:00","07/29/2014 08:00:00","0.663","0.911","0.483","1.225","1.688","0.407","0.276","0.14","0.048","0.129","0.029"
"YOS404","2016.0","36.0","08/30/2016 09:00:00","09/06/2016 08:00:00","0.624","0.83","0.734","0.807","1.528","0.298","0.237","0.302","0.062","0.09","0.125"
"YOS404","1997.0","35.0","08/26/1997 09:00:00","09/02/1997 08:00:00","0.585","0.871","0.53","1.489","1.995","0.347","","","","",""
"YOS404","2008.0","32.0","08/05/2008 09:00:00","08/12/2008 08:00:00","0.661","1.011","0.479","1.443","1.899","0.401","0.269","0.126","0.056","0.079","0.014"
"YOS404","2003.0","32.0","08/05/2003 09:00:00","08/12/2003 08:00:00","0.647","1.085","0.279","1.63","1.883","0.461","0.082","0.078","0.022","0.048","0.014"
"YOS404","2009.0","35.0","08/25/2009 09:00:00","09/01/2009 08:00:00","0.433","0.684","0.28","1.25","1.51","0.302","0.18","0.062","0.032","0.109","0.014"
"YOS404","2010.0","33.0","08/10/2010 09:00:00","08/17/2010 08:00:00","0.488","0.86","0.264","1.102","1.348","0.408","0.131","0.046","0.029","0.084","0.014"
"YOS404","2007.0","33.0","08/14/2007 09:00:00","08/21/2007 08:00:00","0.709","0.719","0.345","1.314","1.638","0.353","0.125","0.101","0.033","0.062","0.014"
"YOS404","2009.0","34.0","08/18/2009 09:00:00","08/25/2009 08:00:00","0.51","0.965","0.314","1.145","1.441","0.355","0.151","0.135","0.04","0.087","0.014"
"YOS404","2006.0","35.0","08/29/2006 09:00:00","09/05/2006 08:00:00","0.584","0.85","0.226","1.496","1.698","0.343","0.113","0.069","0.031","0.05","0.014"
"YOS404","2004.0","36.0","08/31/2004 09:00:00","09/07/2004 08:00:00","","","","","","","","","","",""
"YOS404","1996.0","35.0","08/27/1996 09:00:00","09/03/1996 08:00:00","0.748","0.867","0.531","1.91","2.41","0.509","","","","",""
"YOS404","1997.0","33.0","08/12/1997 09:00:00","08/19/1997 08:00:00","0.709","1.409","0.55","1.721","2.243","0.52","","","","",""
"YOS404","2010.0","35.0","08/24/2010 09:00:00","08/31/2010 08:00:00","0.499","0.892","0.831","1.069","1.883","0.339","0.183","0.276","0.059","0.067","0.053"
"YOS404","2018.0","33.0","08/14/2018 09:00:00","08/21/2018 08:00:00","0.44","0.807","0.418","0.885","1.289","0.398","0.688","0.073","0.088","0.212","0.016"
"YOS404","1997.0","32.0","08/05/1997 09:00:00","08/12/1997 08:00:00","0.995","1.612","0.692","2.294","2.95","0.588","","","","",""
"YOS404","2015.0","33.0","08/11/2015 09:00:00","08/18/2015 08:00:00","0.629","0.829","0.329","0.987","1.3","0.331","0.157","0.087","0.032","0.056","0.014"
"YOS404","2006.0","31.0","08/01/2006 09:00:00","08/08/2006 08:00:00","0.903","1.342","0.76","1.594","2.329","0.5","0.132","0.293","0.057","0.074","0.014"
"YOS404","2006.0","33.0","08/15/2006 09:00:00","08/22/2006 08:00:00","0.782","1.053","0.531","1.591","2.097","0.43","0.127","0.193","0.046","0.061","0.014"
"YOS404","2011.0","32.0","08/09/2011 09:00:00","08/16/2011 08:00:00","0.461","0.611","0.313","1.061","1.357","0.317","0.08","0.114","0.027","0.065","0.014"
"YOS404","2014.0","34.0","08/19/2014 09:00:00","08/26/2014 08:00:00","0.532","0.972","0.636","0.887","1.509","0.445","0.26","0.133","0.053","0.081","0.014"
"YOS404","2005.0","31.0","08/02/2005 09:00:00","08/09/2005 08:00:00","0.665","1.104","0.153","1.463","1.592","0.479","0.102","0.056","0.024","0.044","0.012"
"YOS404","2010.0","34.0","08/17/2010 09:00:00","08/24/2010 08:00:00","0.525","0.58","0.202","0.964","1.15","0.265","0.097","0.053","0.022","0.048","0.013"
"YOS404","2003.0","33.0","08/12/2003 09:00:00","08/19/2003 08:00:00","0.772","1.021","0.43","1.535","1.941","0.405","0.119","0.161","0.035","0.05","0.014"
"YOS404","2015.0","32.0","08/04/2015 09:00:00","08/11/2015 08:00:00","0.678","0.886","0.669","0.991","1.644","0.352","0.171","0.241","0.05","0.065","0.014"
"YOS404","2009.0","32.0","08/04/2009 09:00:00","08/11/2009 08:00:00","0.308","0.676","0.273","0.841","1.101","0.328","0.134","0.058","0.029","0.161","0.014"
"YOS404","2016.0","34.0","08/16/2016 09:00:00","08/23/2016 08:00:00","0.841","1.042","0.395","1.331","1.705","0.508","0.281","0.09","0.047","0.175","0.019"
"YOS404","2016.0","33.0","08/09/2016 09:00:00","08/16/2016 08:00:00","0.801","0.849","0.449","1.183","1.613","0.383","0.199","0.142","0.044","0.129","0.015"
"YOS404","2002.0","34.0","08/20/2002 09:00:00","08/27/2002 08:00:00","0.658","0.918","0.527","1.713","2.212","0.446","0.146","0.197","0.038","0.074",""
"YOS404","2015.0","34.0","08/18/2015 09:00:00","08/25/2015 08:00:00","0.577","0.94","0.711","1.058","1.752","0.411","0.202","0.282","0.057","0.107","0.04"
"YOS404","2007.0","34.0","08/21/2007 09:00:00","08/28/2007 08:00:00","0.855","1.236","0.542","1.802","2.315","0.522","0.19","0.176","0.054","0.079","0.014"
"YOS404","1998.0","32.0","08/04/1998 09:00:00","08/11/1998 08:00:00","","","","","","","","","","",""
"YOS404","2004.0","32.0","08/03/2004 09:00:00","08/10/2004 08:00:00","0.739","0.898","0.319","1.523","1.817","0.384","0.108","0.09","0.029","0.069","0.014"
"YOS404","2001.0","33.0","08/14/2001 09:00:00","08/21/2001 08:00:00","0.746","1.162","0.722","1.949","2.64","0.562","0.178","0.165","0.034","0.11",""
"YOS404","2013.0","33.0","08/13/2013 09:00:00","08/20/2013 08:00:00","0.335","0.594","0.188","0.798","0.973","0.24","0.143","0.052","0.026","0.071","0.014"
"YOS404","2006.0","32.0","08/08/2006 09:00:00","08/15/2006 08:00:00","0.674","0.964","0.579","1.36","1.917","0.391","0.114","0.206","0.046","0.059","0.014"
"YOS404","1998.0","33.0","08/11/1998 09:00:00","08/18/1998 08:00:00","1.259","1.475","0.356","2.013","2.338","0.588","","","","",""
"YOS404","2013.0","34.0","08/20/2013 09:00:00","08/27/2013 08:00:00","0.494","0.825","0.323","1.229","1.532","0.38","0.161","0.075","0.031","0.062","0.012"
"YOS404","2011.0","31.0","08/02/2011 09:00:00","08/09/2011 08:00:00","0.547","0.889","0.187","1.056","1.226","0.42","0.087","0.06","0.021","0.041","0.014"
"YOS404","1999.0","33.0","08/10/1999 09:00:00","08/17/1999 08:00:00","0.616","1.34","0.373","1.664","2.01","0.557","","","","",""
"YOS404","1996.0","34.0","08/20/1996 09:00:00","08/27/1996 08:00:00","0.696","1.191","0.731","2.081","2.779","0.561","","","","",""
"YOS404","1997.0","34.0","08/19/1997 09:00:00","08/26/1997 08:00:00","0.591","0.898","0.494","1.412","1.884","0.36","","","","",""
"YOS404","1998.0","34.0","08/18/1998 09:00:00","08/25/1998 08:00:00","","","","","","","","","","",""
"YOS404","2015.0","35.0","08/25/2015 09:00:00","09/01/2015 08:00:00","0.616","0.612","0.352","0.772","1.111","0.234","0.119","0.116","0.03","0.045","0.029"
"YOS404","2013.0","35.0","08/27/2013 09:00:00","09/03/2013 08:00:00","0.577","0.842","0.898","1.32","2.197","0.48","0.364","0.052","0.051","0.259","0.024"
"YOS404","1998.0","35.0","08/25/1998 09:00:00","09/01/1998 08:00:00","","","","","","","","","","",""
"YOS404","2018.0","32.0","08/07/2018 09:00:00","08/14/2018 08:00:00","1.305","1.101","2.311","1.564","3.85","1.173","1.157","0.054","0.143","0.729","0.089"
"YOS404","1999.0","35.0","08/24/1999 09:00:00","08/31/1999 08:00:00","0.628","1.279","0.475","1.569","2.02","0.586","","","","",""
"YOS404","2010.0","32.0","08/03/2010 09:00:00","08/10/2010 08:00:00","0.64","0.854","0.285","1.039","1.308","0.404","0.136","0.073","0.038","0.097","0.014"
"YOS404","2012.0","34.0","08/21/2012 09:00:00","08/28/2012 08:00:00","0.354","0.644","0.318","0.942","1.245","0.274","0.086","0.114","0.026","0.036","0.014"
"YOS404","2000.0","33.0","08/15/2000 09:00:00","08/22/2000 08:00:00","0.559","0.572","0.507","1.424","1.909","0.249","0.087","0.18","0.036","0.041",""
"YOS404","1996.0","33.0","08/13/1996 09:00:00","08/20/1996 08:00:00","0.971","1.529","0.788","2.329","3.08","0.674","","","","",""
"YOS404","2008.0","35.0","08/26/2008 09:00:00","09/02/2008 08:00:00","0.488","0.751","0.363","1.034","1.38","0.295","0.189","0.154","0.049","0.059","0.069"
"YOS404","2000.0","32.0","08/08/2000 09:00:00","08/15/2000 08:00:00","0.595","0.745","0.273","1.471","1.72","0.315","0.091","0.078","0.022","0.062",""
"YOS404","2001.0","35.0","08/28/2001 09:00:00","09/04/2001 08:00:00","0.766","1.246","0.821","1.887","2.679","0.538","0.226","0.241","0.05","0.138",""
"YOS404","2016.0","35.0","08/23/2016 09:00:00","08/30/2016 08:00:00","0.447","0.826","0.32","0.887","1.193","0.393","0.157","0.117","0.034","0.12","0.014"
"YOS404","2006.0","34.0","08/22/2006 09:00:00","08/29/2006 08:00:00","0.682","0.993","0.388","1.783","2.143","0.394","0.128","0.113","0.037","0.062","0.014"
"YOS404","2017.0","33.0","08/15/2017 09:00:00","08/22/2017 08:00:00","0.427","1.357","0.814","1.277","2.071","0.611","0.251","0.354","0.071","0.169","0.014"
"YOS404","2012.0","32.0","08/07/2012 09:00:00","08/14/2012 08:00:00","0.465","1.272","0.269","1.43","1.676","0.503","0.125","0.109","0.03","0.049","0.014"
"YOS404","2013.0","32.0","08/06/2013 09:00:00","08/13/2013 08:00:00","0.401","0.547","0.128","0.815","0.93","0.308","0.087","0.031","0.018","0.044","0.014"
"YOS404","2003.0","35.0","08/26/2003 09:00:00","09/02/2003 08:00:00","0.55","1.101","0.325","1.803","2.1","0.44","0.101","0.108","0.028","0.083","0.014"
"YOS404","2012.0","35.0","08/28/2012 09:00:00","09/04/2012 08:00:00","0.422","0.721","0.491","0.91","1.386","0.302","0.122","0.153","0.037","0.052","0.017"
"YOS404","1999.0","32.0","08/03/1999 09:00:00","08/10/1999 08:00:00","0.699","1.249","0.331","1.793","2.095","0.439","","","","",""
"YOS404","2002.0","32.0","08/06/2002 09:00:00","08/13/2002 08:00:00","0.77","0.729","0.355","1.57","1.901","0.361","0.143","0.126","0.033","0.075",""
"YOS404","2005.0","33.0","08/16/2005 09:00:00","08/23/2005 08:00:00","0.722","1.42","0.243","1.469","1.689","0.607","0.101","0.073","0.028","0.048","0.014"
"YOS404","2011.0","33.0","08/16/2011 09:00:00","08/23/2011 08:00:00","0.496","0.72","0.355","1.045","1.384","0.35","0.098","0.128","0.031","0.044","0.014"
"YOS404","2004.0","34.0","08/17/2004 09:00:00","08/24/2004 08:00:00","0.839","1.438","0.546","1.987","2.501","0.611","0.162","0.101","0.04","0.063","0.014"
"YOS404","2008.0","33.0","08/12/2008 09:00:00","08/19/2008 08:00:00","0.697","0.952","0.437","1.491","1.904","0.441","0.278","0.103","0.055","0.08","0.014"
"YOS404","2001.0","32.0","08/07/2001 09:00:00","08/14/2001 08:00:00","0.931","1.491","0.309","1.982","2.26","0.587","0.13","0.1","0.029","0.056",""
"YOS404","1996.0","32.0","08/06/1996 09:00:00","08/13/1996 08:00:00","0.751","1.451","0.432","2.013","2.413","0.534","","","","",""
"YOS404","2005.0","35.0","08/30/2005 09:00:00","09/06/2005 08:00:00","0.804","0.906","0.443","1.612","2.029","0.384","0.154","0.13","0.05","0.079","0.014"
"YOS404","2000.0","35.0","08/29/2000 09:00:00","09/05/2000 08:00:00","0.302","1.338","1.785","1.358","3.121","0.768","0.123","0.266","0.046","0.119",""
"YOS404","2007.0","32.0","08/07/2007 09:00:00","08/14/2007 08:00:00","0.691","0.869","0.618","1.366","1.962","0.373","0.202","0.174","0.047","0.1","0.014"
"YOS404","2000.0","31.0","08/01/2000 09:00:00","08/08/2000 08:00:00","0.901","1.589","0.34","2.041","2.348","0.666","0.154","0.102","0.038","0.09",""
"YOS404","2005.0","34.0","08/23/2005 09:00:00","08/30/2005 08:00:00","0.645","0.851","0.196","1.301","1.477","0.339","0.107","0.072","0.026","0.046","0.014"
"YOS404","2018.0","34.0","08/21/2018 09:00:00","08/28/2018 08:00:00","0.574","1.054","0.694","0.642","1.325","0.572","0.825","0.119","0.112","0.225","0.014"
"YOS404","2016.0","32.0","08/02/2016 09:00:00","08/09/2016 08:00:00","0.538","0.682","0.312","0.899","1.197","0.344","0.118","0.136","0.032","0.09","0.044"
"YOS404","1999.0","34.0","08/17/1999 09:00:00","08/24/1999 08:00:00","0.743","1.351","0.473","2.029","2.47","0.561","","","","",""
"YOS404","2009.0","33.0","08/11/2009 09:00:00","08/18/2009 08:00:00","0.441","0.694","0.375","0.938","1.297","0.304","0.138","0.153","0.04","0.103","0.05"
"YOS404","2010.0","36.0","08/31/2010 09:00:00","09/07/2010 08:00:00","0.616","0.85","0.542","1.319","1.84","0.389","0.166","0.182","0.05","0.071","0.026"
"YOS404","2002.0","35.0","08/27/2002 09:00:00","09/03/2002 08:00:00","0.68","1.081","0.399","2.033","2.4","0.464","0.148","0.119","0.03","0.067",""
"YOS404","2001.0","34.0","08/21/2001 09:00:00","08/28/2001 08:00:00","0.847","1.001","1.026","1.637","2.637","0.588","0.196","0.145","0.041","0.234",""
"YOS404","2003.0","34.0","08/19/2003 09:00:00","08/26/2003 08:00:00","0.607","1.263","0.381","1.846","2.197","0.445","0.132","0.129","0.032","0.062","0.014"
"YOS404","2002.0","33.0","08/13/2002 09:00:00","08/20/2002 08:00:00","0.792","1.071","0.349","1.816","2.136","0.611","0.114","0.112","0.03","0.106",""
"YOS404","2017.0","32.0","08/08/2017 09:00:00","08/15/2017 08:00:00","0.375","0.7","0.632","0.941","1.558","0.438","0.249","0.08","0.041","0.16","0.017"
"YOS404","2004.0","35.0","08/24/2004 09:00:00","08/31/2004 08:00:00","0.749","0.907","0.357","1.39","1.725","0.38","0.141","0.095","0.034","0.054","0.015"
"YOS404","2004.0","33.0","08/10/2004 09:00:00","08/17/2004 08:00:00","0.787","1.358","0.384","1.915","2.269","0.55","0.149","0.112","0.034","0.051","0.014"
"YOS404","2000.0","34.0","08/22/2000 09:00:00","08/29/2000 08:00:00","0.883","1.328","0.761","2.436","3.158","0.592","0.19","0.175","0.049","0.115",""
"YOS404","2012.0","33.0","08/14/2012 09:00:00","08/21/2012 08:00:00","0.343","1.015","0.201","1.198","1.38","0.414","0.108","0.067","0.022","0.048","0.014"
"YOS404","2014.0","33.0","08/12/2014 09:00:00","08/19/2014 08:00:00","0.5","0.857","0.408","1.007","1.399","0.387","0.196","0.085","0.034","0.063","0.014"
"YOS404","2008.0","34.0","08/19/2008 09:00:00","08/26/2008 08:00:00","0.497","0.822","0.345","1.091","1.418","0.323","0.192","0.078","0.039","0.051","0.014"
"YOS404","2017.0","31.0","08/01/2017 09:00:00","08/08/2017 08:00:00","0.364","0.792","0.256","0.902","1.144","0.375","0.244","0.058","0.039","0.113","0.014"
"YOS404","2017.0","35.0","08/29/2017 09:00:00","09/05/2017 08:00:00","0.559","1.122","0.996","1.478","2.451","0.793","0.43","0.064","0.052","0.3","0.034"
"YOS404","2005.0","32.0","08/09/2005 09:00:00","08/16/2005 08:00:00","0.859","1.285","0.283","1.692","1.948","0.513","0.108","0.145","0.038","0.061","0.016"
"YOS404","2011.0","34.0","08/23/2011 09:00:00","08/30/2011 08:00:00","0.502","0.872","0.239","1.089","1.311","0.389","0.139","0.051","0.028","0.06","0.012"
"YOS404","2014.0","35.0","08/26/2014 09:00:00","09/02/2014 08:00:00","0.436","0.82","0.47","0.837","1.294","0.336","0.19","0.151","0.046","0.062","0.029"
"YOS404","2007.0","35.0","08/28/2007 09:00:00","09/04/2007 08:00:00","0.373","0.892","0.188","1.272","1.439","0.366","0.11","0.057","0.027","0.038","0.014"
"YOS404","2011.0","35.0","08/30/2011 09:00:00","09/06/2011 08:00:00","0.623","0.957","0.434","1.343","1.756","0.431","0.207","0.14","0.053","0.083","0.016"
"YOS404","2018.0","35.0","08/28/2018 09:00:00","09/04/2018 08:00:00","0.485","0.851","0.706","0.656","1.351","0.368","0.473","0.213","0.084","0.131","0.019"
"YOS404","2014.0","32.0","08/05/2014 09:00:00","08/12/2014 08:00:00","0.356","0.837","0.42","1.08","1.483","0.424","0.145","0.143","0.034","0.079","0.018"
"YOS404","2017.0","34.0","08/22/2017 09:00:00","08/29/2017 08:00:00","0.4","1.149","0.487","1.159","1.628","0.543","0.283","0.125","0.045","0.157","0.014"
"YOS404","1999.0","36.0","08/31/1999 09:00:00","09/07/1999 08:00:00","0.73","1.148","0.713","1.909","2.591","0.52","","","","",""
"YOS404","2010.0","38.0","09/14/2010 09:00:00","09/21/2010 08:00:00","0.486","0.794","0.27","0.895","1.15","0.391","0.126","0.052","0.033","0.064","0.015"
"YOS404","2009.0","36.0","09/01/2009 09:00:00","09/08/2009 08:00:00","0.311","0.759","0.359","0.964","1.308","0.331","0.191","0.091","0.043","0.11","0.014"
"YOS404","2005.0","39.0","09/27/2005 09:00:00","10/04/2005 08:00:00","0.419","0.584","0.273","0.825","1.084","0.256","0.078","0.069","0.02","0.036","0.014"
"YOS404","2009.0","39.0","09/22/2009 09:00:00","09/29/2009 08:00:00","0.464","0.699","0.416","0.92","1.322","0.363","0.157","0.074","0.037","0.06","0.014"
"YOS404","1999.0","40.0","09/28/1999 09:00:00","10/05/1999 08:00:00","0.939","1.206","1.135","1.67","2.778","0.711","","","","",""
"YOS404","2017.0","37.0","09/12/2017 09:00:00","09/19/2017 08:00:00","0.272","0.934","1.288","0.958","2.231","0.619","0.179","0.221","0.046","0.15","0.069"
"YOS404","2004.0","37.0","09/07/2004 09:00:00","09/14/2004 08:00:00","0.897","0.644","0.392","1.378","1.748","0.284","0.117","0.113","0.033","0.056","0.014"
"YOS404","2010.0","40.0","09/28/2010 09:00:00","10/05/2010 08:00:00","","","","","","","","","","",""
"YOS404","2001.0","36.0","09/04/2001 09:00:00","09/11/2001 08:00:00","0.727","1.018","0.864","1.634","2.472","0.451","0.219","0.263","0.053","0.105",""
"YOS404","2013.0","38.0","09/17/2013 09:00:00","09/24/2013 08:00:00","0.274","0.529","0.297","0.725","1.011","0.116","0.196","0.107","0.042","0.057","0.014"
"YOS404","1995.0","39.0","09/26/1995 09:00:00","10/03/1995 08:00:00","","","","","","","","","","",""
"YOS404","1999.0","39.0","09/21/1999 09:00:00","09/28/1999 08:00:00","0.457","1.074","0.308","1.395","1.681","0.456","","","","",""
"YOS404","2010.0","39.0","09/21/2010 09:00:00","09/28/2010 08:00:00","0.403","0.854","0.55","0.934","1.47","0.366","0.129","0.184","0.04","0.071","0.017"
"YOS404","2004.0","38.0","09/14/2004 09:00:00","09/21/2004 08:00:00","0.559","0.645","0.845","1.173","1.999","0.264","0.16","0.205","0.052","0.066","0.023"
"YOS404","2011.0","36.0","09/06/2011 09:00:00","09/13/2011 08:00:00","0.308","0.892","0.242","0.846","1.075","0.351","0.166","0.07","0.029","0.089","0.014"
"YOS404","2006.0","39.0","09/26/2006 09:00:00","10/03/2006 08:00:00","0.394","0.756","0.242","1.251","1.473","0.21","0.119","0.044","0.024","0.057","0.014"
"YOS404","2012.0","38.0","09/18/2012 09:00:00","09/25/2012 08:00:00","0.541","1.067","0.538","1.313","1.83","0.463","0.189","0.116","0.035","0.053","0.014"
"YOS404","2003.0","39.0","09/23/2003 09:00:00","09/30/2003 08:00:00","0.796","1.105","0.512","1.512","2.0","0.537","0.178","0.134","0.038","0.109","0.014"
"YOS404","2005.0","37.0","09/13/2005 09:00:00","09/20/2005 08:00:00","0.578","0.939","0.481","1.166","1.629","0.37","0.095","0.171","0.036","0.05","0.015"
"YOS404","1998.0","40.0","09/29/1998 09:00:00","10/06/1998 08:00:00","0.25","0.895","0.394","0.778","1.16","0.322","","","","",""
"YOS404","2004.0","39.0","09/21/2004 09:00:00","09/28/2004 08:00:00","0.445","0.462","0.236","1.015","1.235","0.238","0.088","0.033","0.018","0.034","0.015"
"YOS404","2014.0","40.0","09/30/2014 09:00:00","10/07/2014 08:00:00","0.326","0.585","0.231","0.657","0.877","0.265","0.106","0.074","0.023","0.037","0.014"
"YOS404","2005.0","38.0","09/20/2005 09:00:00","09/27/2005 08:00:00","0.409","0.781","0.352","1.342","1.672","0.276","0.098","0.099","0.028","0.05","0.014"
"YOS404","1996.0","36.0","09/03/1996 09:00:00","09/10/1996 08:00:00","0.643","0.809","0.52","1.994","2.482","0.368","","","","",""
"YOS404","1996.0","39.0","09/24/1996 09:00:00","10/01/1996 08:00:00","0.615","1.103","0.621","1.997","2.586","0.56","","","","",""
"YOS404","2018.0","39.0","09/25/2018 09:00:00","10/02/2018 08:00:00","0.597","0.775","0.79","0.597","1.377","0.249","0.58","0.154","0.083","0.12","0.03"
"YOS404","1997.0","40.0","09/30/1997 09:00:00","10/07/1997 08:00:00","","","","","","","","","","",""
"YOS404","2009.0","40.0","09/29/2009 09:00:00","10/06/2009 08:00:00","0.238","0.528","0.697","0.341","1.033","0.118","0.131","0.232","0.048","0.054","0.055"
"YOS404","1998.0","39.0","09/22/1998 09:00:00","09/29/1998 08:00:00","0.32","1.545","1.553","1.129","2.663","0.717","","","","",""
"YOS404","2015.0","36.0","09/01/2015 09:00:00","09/08/2015 08:00:00","0.789","0.877","1.252","0.824","2.063","0.403","0.298","0.33","0.076","0.118","0.11"
"YOS404","2016.0","37.0","09/06/2016 09:00:00","09/13/2016 08:00:00","0.481","0.699","0.642","0.801","1.43","0.335","0.226","0.241","0.06","0.095","0.054"
